Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.994668,0.999874,0.999216,0.999504,1.00083,0.997958,0.999136,0.999543,0.998982,0.999034,0.999453,0.996609,0.996583,1.00122,0.998650,0.997565,0.995694,0.998779,0.998632
0.994401,0.999916,0.999434,0.998214,1.00083,0.998393,0.998806,0.998285,0.996055,0.998678,0.999392,0.997118,0.996981,0.999365,0.998044,0.996189,0.992329,0.997742,0.999590
0.994357,1.00265,1.00170,1.00124,1.00256,1.00218,1.00004,1.00029,0.999491,1.00015,1.00067,1.00038,0.999078,1.00172,0.998463,0.996824,0.992733,0.999817,1.00178
0.997245,1.00354,1.00322,1.00174,1.00322,1.00137,1.00231,1.00029,1.00064,1.00178,1.00207,1.00047,0.999329,1.00426,1.00102,0.998730,0.993406,1.00122,1.00239
0.995823,1.00059,1.00070,0.999405,1.00012,0.999063,0.999918,1.00051,0.999491,1.00173,1.00076,0.997711,0.998176,1.00122,0.999767,0.997777,0.995963,0.999817,1.00232
0.999467,1.00114,1.00096,1.00094,1.00149,1.00047,1.00086,1.00109,1.00057,1.00107,1.00155,1.00102,1.00214,1.00091,1.00116,1.00127,0.999462,1.00031,1.00212
1.00333,1.00181,1.00187,1.00308,1.00167,1.00204,1.00222,1.00280,1.00255,1.00213,1.00295,1.00309,1.00344,1.00195,1.00340,1.00127,1.00484,1.00207,1.00205
1.00675,1.00328,1.00423,1.00486,1.00375,1.00448,1.00379,1.00429,1.00426,1.00473,1.00325,1.00403,1.00551,1.00508,1.00456,1.00572,1.00875,1.00275,1.00581
1.00089,0.999705,1.00017,1.00119,1.00030,1.00020,1.00119,1.00131,1.00172,1.00097,0.999635,1.00000,1.00004,1.00009,1.00158,1.00265,1.00484,1.00146,1.00007
0.998089,0.999285,0.998562,0.998214,0.999166,0.999230,0.999424,0.998571,0.998791,0.997967,0.999119,0.998601,0.997757,0.997326,0.997625,0.999894,0.999865,0.999695,0.999453
0.997245,0.999705,0.998693,0.997322,0.999404,0.999230,0.998312,0.998456,0.997964,0.998780,0.998876,0.998008,0.996876,0.999411,0.998510,0.996612,0.994483,0.998169,0.999658
0.997423,1.00017,0.998649,0.998363,1.00036,1.00037,0.999794,0.996627,0.998409,0.998424,0.999787,0.997796,0.996981,0.999094,0.997485,0.995130,0.993675,0.999573,0.999453
0.995779,0.998527,0.997081,0.996727,0.997975,0.997624,0.997036,0.997027,0.996182,0.997001,0.996475,0.994702,0.993941,0.997235,0.995995,0.994813,0.992868,0.995606,0.995487
0.993024,0.995370,0.994293,0.994792,0.994402,0.994511,0.995390,0.994169,0.994018,0.995019,0.994469,0.990633,0.991886,0.996737,0.994366,0.993860,0.991118,0.995179,0.994735
0.991558,0.994444,0.994206,0.993850,0.994640,0.993474,0.994896,0.992796,0.990200,0.994104,0.993254,0.989827,0.989559,0.995014,0.994971,0.991213,0.990445,0.993043,0.992478
0.990936,0.996591,0.994336,0.994395,0.997141,0.995716,0.994690,0.993883,0.993891,0.994460,0.994013,0.991947,0.991781,0.997371,0.993993,0.991213,0.986947,0.995057,0.992888
0.991025,0.995160,0.993944,0.992560,0.995057,0.994344,0.994525,0.991424,0.992746,0.994968,0.994743,0.991311,0.990041,0.997054,0.993946,0.992060,0.986947,0.994691,0.992478
0.987737,0.992634,0.992027,0.991072,0.992794,0.992034,0.993085,0.990338,0.991282,0.992732,0.992403,0.987751,0.988951,0.994742,0.991991,0.989837,0.986543,0.992677,0.992068
0.988314,0.994023,0.992463,0.991717,0.993092,0.992335,0.992056,0.992453,0.991664,0.992986,0.993011,0.989404,0.988385,0.995196,0.991991,0.991213,0.984390,0.993348,0.990085
0.988092,0.995496,0.994423,0.993850,0.995295,0.994444,0.993784,0.991539,0.992300,0.992884,0.993375,0.991184,0.990460,0.995785,0.991618,0.991107,0.984659,0.992860,0.992547
0.988270,0.994318,0.993509,0.991717,0.994878,0.993172,0.993743,0.991939,0.992618,0.993697,0.993801,0.989531,0.989790,0.995286,0.992177,0.991637,0.985601,0.993958,0.990974
0.984582,0.991287,0.989849,0.990130,0.991186,0.988386,0.991932,0.988966,0.990073,0.991308,0.991218,0.987369,0.986309,0.993428,0.990128,0.989625,0.984390,0.991212,0.988922
0.984537,0.990656,0.989021,0.988692,0.992198,0.988419,0.990615,0.989423,0.989119,0.989377,0.989850,0.986776,0.985554,0.991842,0.988358,0.990260,0.983179,0.990724,0.988991
0.985648,0.991876,0.990633,0.990675,0.992139,0.991164,0.991315,0.988451,0.989755,0.990292,0.991126,0.988895,0.987022,0.992703,0.989197,0.989837,0.983313,0.990785,0.992410
0.986004,0.995202,0.993465,0.993403,0.995176,0.993942,0.991726,0.991367,0.990773,0.992274,0.992494,0.989912,0.990314,0.995286,0.990547,0.989943,0.984255,0.992433,0.993094
