Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.997109,1.00263,1.00380,1.00376,1.00495,1.00286,1.00118,1.00265,1.00276,1.00094,1.00253,1.00094,1.00087,1.00475,1.00083,0.998210,0.999060,1.00223,1.00293
0.997010,1.00063,1.00101,1.00079,1.00159,1.00091,1.00196,1.00101,1.00241,0.999166,1.00059,0.999106,0.999953,1.00209,0.999948,0.998926,0.997964,1.00112,1.00173
0.992624,1.00034,1.00168,0.998149,1.00119,0.999855,0.998363,1.00032,0.999575,0.998555,0.999342,0.998447,0.997712,0.999898,0.997779,1.00143,0.992796,0.997352,1.00225
0.993421,0.999659,1.00077,0.998205,1.00258,1.00120,0.998499,0.999874,0.998796,0.999055,0.999507,0.996988,0.997806,1.00041,0.998296,0.996659,0.991699,0.996724,1.00210
0.997707,1.00034,1.00336,1.00163,1.00575,1.00377,1.00086,1.00562,1.00035,1.00072,1.00191,1.00212,1.00208,1.00378,0.998864,1.00012,0.994048,0.998746,1.00721
1.00005,1.00278,1.00308,1.00449,1.00271,1.00170,1.00309,1.00335,1.00212,1.00367,1.00326,1.00353,1.00384,1.00526,1.00248,1.00179,1.00063,1.00209,1.00736
1.00369,0.999318,1.00087,1.00067,1.00119,1.00098,1.00323,1.00328,1.00255,1.00206,1.00128,1.00151,1.00071,0.999489,1.00217,1.00215,1.00313,1.00146,1.00150
1.00229,1.00054,1.00202,1.00191,1.00119,1.00297,1.00236,1.00290,0.999929,1.00250,1.00194,1.00155,1.00085,1.00133,1.00289,1.00310,1.00548,1.00307,1.00173
1.00244,1.00156,1.00173,0.999551,1.00152,1.00109,0.999227,1.00038,1.00092,0.998722,1.00056,1.00297,1.00193,1.00041,1.00000,1.00251,1.00407,0.999373,0.999775
0.999352,1.00200,1.00087,1.00101,1.00198,1.00072,0.998590,0.999937,0.999929,1.00006,1.00128,1.00024,1.00116,0.999898,1.00165,0.999881,0.998904,0.999512,1.00225
0.998604,0.998393,0.997453,0.997756,0.997754,0.998551,0.999136,0.997917,1.00191,0.997388,0.997401,0.996094,0.998113,0.999183,0.997882,0.998688,0.999217,1.00056,0.998123
0.996860,0.998052,0.995146,0.995456,0.995640,0.995327,0.996362,0.995077,0.996177,0.996443,0.995757,0.995623,0.994740,0.996629,0.995455,0.996421,0.993892,0.994703,0.998273
0.995165,0.995812,0.994473,0.991978,0.996697,0.995472,0.993770,0.994951,0.996177,0.995332,0.993783,0.992328,0.991933,0.996680,0.992873,0.992841,0.991856,0.994982,0.996245
0.992873,0.995715,0.995434,0.994054,0.995244,0.997030,0.994179,0.994320,0.996389,0.994498,0.995658,0.992846,0.993561,0.997089,0.994422,0.994034,0.989507,0.994146,0.995494
0.994767,0.997516,0.998078,0.995512,0.996235,0.996668,0.996226,0.995329,0.995681,0.994998,0.996612,0.994023,0.993702,0.997242,0.994732,0.993199,0.989820,0.994494,0.995795
0.991278,0.995179,0.992503,0.995176,0.995046,0.992755,0.991814,0.992679,0.993770,0.993998,0.994244,0.990305,0.991155,0.995608,0.993234,0.992364,0.989976,0.994494,0.993767
0.992624,0.995130,0.993416,0.992932,0.992536,0.991669,0.993588,0.993184,0.993486,0.992609,0.993454,0.992987,0.988561,0.993974,0.994164,0.993080,0.992639,0.996237,0.993166
0.988786,0.993280,0.992503,0.991642,0.992470,0.992755,0.990405,0.990911,0.993203,0.991275,0.993487,0.991717,0.990330,0.994842,0.990187,0.990216,0.986531,0.992961,0.993016
0.988935,0.994789,0.993368,0.993381,0.995574,0.994241,0.993861,0.989965,0.992707,0.993387,0.994342,0.990964,0.992122,0.994791,0.993080,0.994869,0.988567,0.992891,0.994368
0.989484,0.994351,0.992887,0.994110,0.994451,0.993733,0.993497,0.991227,0.993628,0.992053,0.994211,0.992517,0.992500,0.995353,0.994629,0.993080,0.991543,0.995261,0.992340
0.986344,0.994302,0.995290,0.993830,0.993791,0.993661,0.990769,0.990848,0.990867,0.992275,0.992862,0.992611,0.992806,0.992697,0.993286,0.993438,0.986061,0.994076,0.991889
0.988537,0.993280,0.991686,0.994559,0.993659,0.993516,0.991178,0.992111,0.994761,0.992442,0.992106,0.991622,0.992193,0.995455,0.994009,0.990693,0.987940,0.994007,0.992340
0.987042,0.993864,0.993127,0.991305,0.995640,0.992937,0.990541,0.990722,0.991433,0.990830,0.992369,0.990916,0.990848,0.994484,0.995455,0.991171,0.983712,0.990313,0.994368
0.986344,0.993329,0.993031,0.991137,0.993395,0.993335,0.992087,0.991984,0.992353,0.991553,0.994013,0.991199,0.990047,0.993974,0.993544,0.988904,0.986374,0.993310,0.993016
0.984051,0.991575,0.991301,0.990240,0.992734,0.991053,0.990314,0.991543,0.989167,0.989886,0.991283,0.989834,0.990330,0.991318,0.992563,0.990813,0.985904,0.991707,0.994443
0.986394,0.990115,0.990916,0.990183,0.990554,0.990727,0.990814,0.989902,0.988955,0.989052,0.990099,0.989269,0.987593,0.994280,0.991737,0.990216,0.983712,0.991846,0.990387
0.983353,0.991381,0.991493,0.989286,0.992140,0.991415,0.989814,0.989902,0.988530,0.988385,0.990724,0.990681,0.988325,0.990246,0.991633,0.985205,0.980893,0.991219,0.991514
0.984250,0.994156,0.993079,0.993493,0.995839,0.993951,0.991769,0.990217,0.990371,0.991831,0.991809,0.992140,0.992075,0.993514,0.993957,0.990097,0.978857,0.990104,0.993917
0.986294,0.992695,0.993127,0.991586,0.995905,0.992719,0.991041,0.991101,0.989946,0.991831,0.991711,0.991340,0.991415,0.992084,0.994112,0.990097,0.981832,0.989755,0.994968
0.986144,0.991575,0.990724,0.991474,0.993064,0.990763,0.991814,0.993562,0.991291,0.991108,0.990033,0.988893,0.990117,0.991216,0.993648,0.991648,0.989663,0.991498,0.993166
0.988387,0.989238,0.987648,0.990576,0.991413,0.988373,0.988586,0.992868,0.992212,0.989774,0.990198,0.987857,0.989858,0.991369,0.993544,0.993199,0.993265,0.990940,0.993992
0.990829,0.993669,0.994281,0.993493,0.996367,0.994204,0.992678,0.994004,0.992778,0.993720,0.993323,0.994917,0.995872,0.993718,0.996901,0.994631,0.992639,0.993031,0.997672
