Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.997088,0.992656,0.990363,0.997090,0.995438,0.991864,0.985054,0.995582,0.990564,0.997065,0.995521,0.994084,0.993290,0.996147,0.995462,0.994923,0.995299,0.998125,0.996088,0.996222,0.994488,0.996951
0.996935,0.992478,0.990859,0.994023,0.993502,0.992437,0.987928,0.995582,0.990564,0.996128,0.997651,0.993024,0.991754,0.995964,0.994976,0.995956,0.993761,0.997013,0.995748,0.992444,0.994245,0.997374
0.996271,0.992062,0.989938,0.993348,0.995299,0.993239,0.986951,0.994448,0.989370,0.997310,0.996476,0.993951,0.991915,0.995475,0.994652,0.995282,0.995043,0.997638,0.994557,0.993152,0.994488,0.998189
0.996271,0.992062,0.991142,0.995167,0.996267,0.994729,0.987411,0.995582,0.989848,0.995435,0.995228,0.993421,0.993290,0.997860,0.995786,0.996136,0.994786,0.999514,0.994813,0.998229,0.994790,0.997615
0.998263,0.996640,0.994544,0.997817,0.998341,0.996562,0.992067,0.997911,0.991699,0.997677,0.996182,0.994569,0.997898,1.00000,0.999352,0.998697,0.996667,1.00451,0.997279,1.00437,0.998062,1.00069
0.999796,0.999732,0.999575,1.00047,0.998065,1.00000,0.999540,0.998866,1.00054,0.999959,1.00000,0.999912,1.00089,1.00135,1.00041,1.00162,1.00060,1.00361,0.998554,1.00236,1.00048,1.00211
1.00322,1.00395,1.00588,1.00364,1.00387,1.00527,1.00994,1.00293,1.00741,1.00163,1.00095,1.00247,1.00428,1.00330,1.00308,1.00368,1.00197,1.00125,1.00170,1.00183,1.00273,1.00242
1.00552,1.00925,1.01198,1.00806,1.00830,1.00825,1.01656,1.00561,1.01242,1.00416,1.00323,1.00706,1.00728,1.00660,1.00527,1.00319,1.00436,1.00389,1.00757,1.00643,1.00551,1.00308
1.00322,1.00633,1.00872,1.00541,1.00442,1.00504,1.00667,1.00484,1.00597,1.00261,1.00485,1.00534,1.00364,1.00355,1.00446,1.00292,1.00504,1.00583,1.00476,1.00673,1.00363,1.00238
1.00020,0.996670,0.995819,0.997661,0.998756,0.997250,0.993102,0.998687,0.994088,0.999633,0.998825,0.998543,0.998383,0.997370,0.997650,0.998158,0.999145,1.00132,0.997874,0.997698,0.997395,0.999638
0.995045,0.989653,0.987670,0.990801,0.993917,0.992896,0.983100,0.995702,0.986862,0.996780,0.997430,0.992009,0.992239,0.992356,0.993761,0.995462,0.993846,0.993193,0.994217,0.990673,0.995820,0.995713
0.995453,0.987305,0.987032,0.988306,0.991428,0.989573,0.978156,0.992836,0.984055,0.994742,0.996109,0.990684,0.989894,0.990643,0.991735,0.994069,0.992393,0.992221,0.991326,0.992326,0.992125,0.993963
0.993870,0.988464,0.985402,0.990541,0.989769,0.988198,0.976316,0.991284,0.983219,0.993234,0.995154,0.987549,0.992562,0.990705,0.990600,0.993935,0.990598,0.994235,0.992091,0.996399,0.991701,0.990944
0.991418,0.984629,0.981859,0.986019,0.987695,0.984187,0.973959,0.989075,0.982323,0.991236,0.992438,0.986534,0.986741,0.988809,0.987116,0.991508,0.987180,0.991804,0.989030,0.991736,0.991519,0.987744
0.989425,0.981923,0.978741,0.983577,0.984515,0.982010,0.975224,0.985971,0.979875,0.990054,0.988693,0.985032,0.983911,0.985078,0.985577,0.989127,0.986325,0.986733,0.986478,0.985478,0.986431,0.986567
0.989987,0.981983,0.978671,0.984928,0.983824,0.980978,0.973442,0.987463,0.979277,0.988301,0.989941,0.984370,0.983022,0.983978,0.985333,0.987869,0.986752,0.989998,0.985288,0.986127,0.985886,0.986114
0.990754,0.982904,0.978316,0.985552,0.986728,0.982354,0.976431,0.986986,0.979158,0.989606,0.987592,0.983266,0.984154,0.985873,0.985496,0.989217,0.986838,0.991248,0.985203,0.989197,0.986734,0.986868
0.990345,0.980437,0.977324,0.983577,0.984377,0.982354,0.975109,0.986747,0.977844,0.987772,0.987298,0.982869,0.981405,0.985201,0.982984,0.987195,0.983248,0.987914,0.985458,0.982881,0.985401,0.987261
0.987893,0.979634,0.977253,0.983993,0.984930,0.981322,0.972407,0.985374,0.977068,0.986834,0.986564,0.981015,0.983588,0.984100,0.982497,0.985038,0.985043,0.986455,0.983077,0.983530,0.983523,0.984484
0.987535,0.979872,0.976899,0.984252,0.984377,0.979947,0.971315,0.984956,0.976172,0.985244,0.987959,0.981942,0.981728,0.983366,0.983065,0.984275,0.984615,0.987775,0.981886,0.986364,0.984492,0.982310
0.987944,0.980050,0.977891,0.985708,0.986589,0.981781,0.972063,0.985374,0.976052,0.986386,0.985830,0.982030,0.984477,0.983611,0.984766,0.985083,0.983419,0.988678,0.984352,0.988843,0.983826,0.984151
0.985798,0.978088,0.976120,0.982018,0.982856,0.982697,0.971258,0.984479,0.974500,0.986100,0.985316,0.980926,0.981324,0.981959,0.983227,0.984140,0.983077,0.986247,0.982226,0.981759,0.982312,0.984574
0.987790,0.978831,0.975907,0.982122,0.982027,0.980749,0.972867,0.984896,0.973783,0.986100,0.986931,0.981280,0.983103,0.982204,0.981282,0.983870,0.984530,0.986664,0.983077,0.983943,0.983099,0.984755
0.987382,0.980080,0.978104,0.984720,0.984792,0.981551,0.971775,0.984837,0.976590,0.985163,0.986123,0.981235,0.983750,0.984161,0.982416,0.983735,0.984359,0.989025,0.982226,0.986364,0.984008,0.983638
0.987177,0.979277,0.977749,0.982901,0.983548,0.980864,0.973615,0.985314,0.976232,0.985774,0.986711,0.980617,0.983507,0.984773,0.981849,0.983466,0.983077,0.987011,0.982992,0.985242,0.982312,0.983970
0.987382,0.977404,0.974277,0.978899,0.980506,0.980864,0.971258,0.982926,0.973604,0.985530,0.984581,0.981059,0.980435,0.981226,0.980715,0.981669,0.981795,0.984024,0.980866,0.980933,0.982190,0.984574
0.985798,0.977315,0.975340,0.979419,0.980783,0.978458,0.972580,0.982628,0.974142,0.984388,0.984581,0.979690,0.979465,0.981409,0.980148,0.980770,0.979060,0.986039,0.981631,0.979811,0.980676,0.982793
0.986513,0.978682,0.977820,0.982018,0.983271,0.981322,0.973097,0.984240,0.977068,0.984796,0.984361,0.980573,0.983426,0.985445,0.984280,0.981714,0.982991,0.989651,0.982056,0.986482,0.982615,0.984997
0.987790,0.980347,0.978316,0.981290,0.983962,0.981895,0.972005,0.985493,0.976829,0.984959,0.985830,0.981235,0.982699,0.984834,0.984361,0.983825,0.984017,0.989095,0.982822,0.987190,0.981888,0.986053
0.987484,0.979455,0.979592,0.980458,0.983271,0.982926,0.976316,0.985434,0.975993,0.985774,0.985022,0.981942,0.982860,0.984039,0.984685,0.982567,0.982222,0.989164,0.984267,0.983412,0.983220,0.986023
0.988863,0.984450,0.984694,0.986487,0.985898,0.986937,0.984364,0.985732,0.985428,0.988342,0.987959,0.985474,0.986984,0.988320,0.986630,0.984904,0.986496,0.989998,0.986564,0.986246,0.986855,0.987261
0.994330,0.994083,0.998158,0.994023,0.995714,0.994385,1.00040,0.992120,0.996715,0.991644,0.994200,0.991523,0.992481,0.992111,0.991087,0.989936,0.992906,0.995416,0.992516,0.992975,0.992125,0.990219
0.998008,0.998989,1.00340,0.999948,0.999447,0.998396,1.00724,0.996358,1.00460,0.995557,0.996329,0.996909,0.997736,0.997003,0.995138,0.992407,0.996068,0.998889,0.997959,0.996104,0.998607,0.994446
