Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
1.00299,1.00193,0.998097,1.00245,1.00285,0.999616,1.00358,1.00297,1.00339,1.00303,1.00202,1.00197,1.00121,1.00188,1.00676,1.00432,1.00444,1.00562,1.00265,1.00288,1.00210,1.00397
1.00245,1.00005,0.996688,1.00434,1.00159,0.999177,1.00212,1.00183,0.999967,1.00248,1.00199,1.00103,1.00267,1.00027,1.00390,1.00244,1.00120,1.00260,1.00151,1.00078,1.00240,1.00016
1.00417,1.00465,1.00049,1.00807,1.00690,1.00428,1.00346,1.00454,1.00618,1.00431,1.00458,1.00410,1.00624,1.00457,1.00828,1.00611,1.00324,1.00910,1.00320,1.00950,1.00387,1.00400
1.00307,1.00297,1.00025,1.00415,1.00551,1.00126,1.00376,1.00300,1.00319,1.00389,1.00527,1.00446,1.00451,1.00351,1.00762,1.00569,1.00167,1.00749,1.00488,1.00397,1.00342,1.00227
1.00178,1.00068,0.998802,1.00079,1.00385,1.00148,1.00185,1.00151,0.999336,1.00130,1.00287,1.00179,1.00115,1.00279,1.00409,1.00342,1.00141,1.00256,1.00130,0.998473,1.00289,1.00240
1.00299,1.00272,1.00285,1.00404,1.00438,1.00516,1.00428,1.00361,1.00442,1.00196,1.00290,1.00345,1.00351,1.00406,1.00748,1.00457,1.00286,1.00826,1.00328,1.00692,1.00297,1.00310
1.00320,1.00372,1.00391,1.00355,1.00186,1.00181,1.00398,1.00250,1.00495,1.00308,1.00348,1.00424,1.00430,1.00118,1.00276,1.00208,1.00154,1.00275,1.00248,0.999932,1.00349,1.00307
0.999704,1.00231,1.00490,1.00019,1.00066,1.00318,1.00431,1.00064,1.00199,0.999692,1.00088,1.00186,1.00136,0.999273,0.999048,1.00006,0.999915,0.996674,1.00147,1.00109,1.00098,1.00412
1.00013,1.00052,1.00254,1.00183,1.00139,1.00055,1.00188,0.999563,1.00212,1.00033,0.999771,0.999686,1.00314,1.00233,1.00114,1.00056,1.00102,1.00329,1.00223,1.00716,1.00098,1.00077
0.999731,0.998465,0.997498,0.997382,0.996018,0.997148,0.996571,0.999010,0.996979,1.00040,0.999389,0.997914,0.997904,0.998001,0.997143,0.998542,0.999872,0.997859,0.998108,0.993520,1.00056,0.998305
0.998008,0.995522,0.993234,0.996454,0.998208,0.997038,0.993901,0.997030,0.993393,0.997011,0.996791,0.995895,0.995756,0.998213,0.995286,0.996999,0.997951,0.995948,0.995291,0.994673,0.994554,0.994820
1.00054,0.996519,0.993833,1.00049,0.999867,0.997367,0.995418,0.997816,0.998008,0.998967,0.997631,0.996702,0.999267,1.00109,0.999143,0.998486,0.998847,1.00325,0.997940,1.00024,0.998084,0.995204
0.997442,0.993370,0.992565,0.994491,0.997212,0.994186,0.991595,0.996652,0.993559,0.996044,0.997326,0.994437,0.993817,0.996669,0.996238,0.995400,0.997951,0.997095,0.993693,0.994164,0.994554,0.992869
0.996608,0.993496,0.989041,0.996836,0.996150,0.992486,0.990411,0.993886,0.991733,0.994395,0.994269,0.993158,0.995808,0.996094,0.996048,0.995372,0.995175,0.998930,0.993189,0.996743,0.995418,0.994692
0.997765,0.995190,0.991543,1.00068,0.996880,0.996216,0.992445,0.995167,0.997178,0.996329,0.997708,0.993540,0.997642,0.999152,1.00076,0.998317,0.996755,1.00486,0.995753,1.00414,0.997033,0.996898
