Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.997455,0.999252,0.999911,0.998557,1.00221,1.00166,0.998373,1.00278,1.00132,1.00787,0.999414,1.00362,1.00259,1.00344,0.989211,1.00098,1.00179
0.994491,0.998611,0.998127,0.998005,1.00153,1.00087,0.995290,1.00093,0.998154,1.00614,0.999756,1.00068,1.00177,1.00250,0.988283,0.999575,1.00107
0.996827,1.00040,0.999465,0.998812,1.00262,1.00082,0.998630,1.00109,1.00114,1.00106,1.00034,1.00181,1.00279,1.00317,0.989820,1.00098,1.00082
0.996548,0.999092,0.998930,0.998387,1.00218,1.00023,0.997431,1.00273,0.998989,1.00355,0.999707,1.00225,1.00191,1.00228,0.988892,1.00166,1.00097
0.997071,0.999546,0.998305,0.997920,1.00068,0.998770,0.998030,0.999400,0.998594,0.998273,0.999365,1.00106,1.00041,1.00089,0.990720,0.998980,1.00000
0.999059,0.998264,0.999019,0.998090,0.999320,0.999043,0.999829,0.999127,1.00079,0.996737,0.998485,1.00078,1.00075,1.00013,0.995070,1.00025,0.998059
1.00146,1.00120,1.00277,1.00085,0.999728,1.00093,1.00266,0.999291,1.00026,1.00010,1.00044,1.00123,1.00055,1.00031,1.00377,1.00030,0.999709
1.00359,1.00158,1.00250,1.00314,1.00099,1.00210,1.00137,1.00044,1.00088,1.00115,1.00171,1.00075,1.00034,0.999598,1.00905,1.00170,1.00315
1.00143,1.00254,1.00285,1.00284,1.00119,1.00169,0.999657,1.00191,1.00281,1.00307,1.00225,1.00191,1.00136,1.00156,1.00603,1.00149,1.00184
1.00087,1.00128,1.00009,1.00174,1.00102,1.00173,0.999401,1.00229,1.00062,1.00345,1.00186,1.00218,1.00259,1.00282,0.998927,1.00187,1.00218
0.998815,1.00016,0.999376,0.999151,1.00170,0.998702,1.00120,1.00082,1.00022,1.00163,0.999463,1.00092,1.00102,1.00273,0.992431,1.00025,1.00068
0.995920,0.999359,0.998127,0.997581,0.998265,0.998155,0.998116,0.999891,0.998769,1.00048,0.998485,1.00140,0.998774,1.00152,0.987761,0.998173,0.998981
0.992782,0.995940,0.996432,0.996732,0.996564,0.996766,0.993234,0.997327,0.995649,1.00038,0.996678,0.998226,0.996117,1.00058,0.984542,0.996304,0.997720
0.990551,0.996047,0.994113,0.995543,0.996530,0.994921,0.994604,0.996945,0.995122,0.996929,0.994968,0.997885,0.997615,0.996916,0.981729,0.994604,0.996459
0.992643,0.993376,0.993043,0.993591,0.996768,0.995081,0.995889,0.995363,0.995825,0.995873,0.995505,0.997237,0.997956,0.999687,0.979902,0.996049,0.995634
0.988145,0.991906,0.992329,0.990747,0.995305,0.993145,0.991521,0.994435,0.992705,0.996929,0.992671,0.995736,0.994686,0.997363,0.978481,0.992777,0.993839
0.986541,0.990651,0.988761,0.989007,0.993059,0.992234,0.991778,0.993453,0.992353,0.996257,0.990961,0.995667,0.993868,0.994502,0.975900,0.992437,0.991753
0.986715,0.990972,0.989296,0.989983,0.991017,0.991368,0.990322,0.990889,0.992749,0.994818,0.990326,0.993996,0.993323,0.995530,0.975523,0.992097,0.992432
0.984066,0.989850,0.989296,0.987861,0.991392,0.990298,0.986468,0.990998,0.990331,0.997217,0.989740,0.992938,0.993051,0.994815,0.975146,0.991035,0.990200
0.985669,0.989823,0.989296,0.987989,0.991936,0.991140,0.989808,0.991816,0.992177,0.996545,0.990668,0.994166,0.993868,0.994547,0.975813,0.991035,0.991171
0.983682,0.987793,0.989475,0.987734,0.990507,0.990343,0.985612,0.991816,0.990331,0.997121,0.990668,0.991915,0.992846,0.992222,0.974595,0.990908,0.988891
0.981660,0.986751,0.986710,0.985357,0.988908,0.989660,0.983128,0.990234,0.989101,0.998081,0.989349,0.992529,0.990871,0.991909,0.973174,0.988486,0.990200
0.981904,0.987098,0.987423,0.987607,0.988806,0.989751,0.984669,0.990834,0.991122,0.995681,0.990326,0.992597,0.991620,0.993384,0.974479,0.989973,0.987629
0.983264,0.988434,0.988404,0.986418,0.990813,0.990571,0.988267,0.992471,0.990947,0.994338,0.989837,0.993928,0.993528,0.994502,0.975117,0.991587,0.988891
0.980683,0.986404,0.988493,0.985442,0.989520,0.988863,0.980987,0.990561,0.987123,0.999424,0.989153,0.994132,0.989644,0.993429,0.973841,0.990950,0.988891
0.980056,0.986003,0.988583,0.984848,0.988874,0.988248,0.982528,0.991980,0.985937,0.999712,0.987883,0.991642,0.991075,0.993205,0.972826,0.988613,0.988405
0.984100,0.988514,0.988761,0.988837,0.992174,0.991049,0.988523,0.993726,0.990507,0.995489,0.989251,0.993621,0.993528,0.994591,0.974334,0.992140,0.989667
0.981764,0.986938,0.989831,0.987267,0.991698,0.989637,0.985183,0.991980,0.989804,0.994722,0.987541,0.993757,0.992370,0.992535,0.973957,0.990823,0.990637
0.982427,0.986377,0.988761,0.986079,0.989214,0.988567,0.984669,0.988652,0.987123,0.993474,0.986710,0.990755,0.991893,0.992043,0.973203,0.989421,0.988793
0.982880,0.985789,0.988047,0.984381,0.989248,0.988316,0.982186,0.987452,0.987475,0.987812,0.983583,0.989493,0.991484,0.990479,0.975900,0.988231,0.987193
0.984031,0.986244,0.988939,0.986333,0.986356,0.985515,0.985612,0.985760,0.988354,0.987428,0.983974,0.988844,0.989508,0.988244,0.981700,0.987296,0.986368
0.987064,0.989850,0.990634,0.989771,0.987887,0.986494,0.985868,0.989525,0.986552,0.992035,0.987590,0.988606,0.988895,0.990926,0.990923,0.989208,0.987775
0.989993,0.992280,0.994559,0.993506,0.988125,0.989318,0.987924,0.989743,0.988002,0.993186,0.988665,0.989629,0.988963,0.988959,0.997071,0.990738,0.989085
0.988284,0.991693,0.994113,0.993379,0.989452,0.989933,0.985183,0.989579,0.988002,0.995777,0.990717,0.988776,0.988963,0.991194,0.995215,0.989590,0.988357
0.988529,0.992948,0.993489,0.993252,0.989827,0.989592,0.987325,0.989470,0.989892,0.993090,0.989691,0.989834,0.991688,0.993071,0.989240,0.988571,0.990055
0.987587,0.990758,0.991705,0.990196,0.988227,0.987656,0.987325,0.988816,0.989980,0.990595,0.989886,0.991540,0.990734,0.993384,0.981787,0.989336,0.990637
0.985321,0.989689,0.989118,0.987819,0.987683,0.986585,0.983556,0.987015,0.987431,0.993378,0.988714,0.990619,0.989304,0.992222,0.977930,0.988358,0.988793
0.984589,0.987312,0.987691,0.986376,0.986798,0.985401,0.985526,0.986197,0.988573,0.989443,0.986710,0.988606,0.989304,0.990255,0.974537,0.986446,0.988308
0.984623,0.985549,0.987155,0.986121,0.986594,0.985743,0.987410,0.986360,0.987035,0.988963,0.986710,0.988844,0.989236,0.989048,0.973435,0.985894,0.988891
0.982531,0.985496,0.987066,0.984933,0.986832,0.984239,0.985440,0.987179,0.986464,0.984453,0.984170,0.988981,0.988418,0.989674,0.973638,0.985597,0.986513
0.981137,0.983626,0.983855,0.984169,0.984927,0.983602,0.985355,0.985651,0.986200,0.984933,0.984267,0.986491,0.988214,0.989764,0.970883,0.986149,0.985446
0.981032,0.983599,0.983944,0.983447,0.984791,0.983442,0.983813,0.985324,0.984618,0.988100,0.984463,0.987002,0.988759,0.988914,0.970651,0.985214,0.984185
0.978835,0.982851,0.982428,0.981792,0.982171,0.982827,0.982014,0.984833,0.983432,0.985125,0.981580,0.986627,0.987600,0.989764,0.968881,0.983812,0.982002
