Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.998418,1.00065,1.00000,0.999613,1.00274,0.998756,0.999456,0.997225,1.00089,1.00744,1.00169,1.00125,1.00082,1.00136,1.00093,0.999055,1.00000,0.999772
0.997011,0.999210,0.994204,1.00077,0.998466,0.998922,1.00018,0.998360,0.998415,1.00267,1.00338,0.998546,1.00163,0.997965,0.999225,0.999055,0.999180,1.00076
0.997011,1.00076,0.996879,0.999806,0.999123,0.996849,0.998911,0.998360,0.999406,1.00534,0.998312,1.00145,1.00204,1.00068,1.00140,1.00014,0.999317,1.00129
0.998506,1.00216,0.995987,1.00194,1.00088,1.00099,0.995102,0.998865,0.999802,1.00382,1.00300,1.00229,0.999591,0.998643,1.00155,1.00149,0.998634,1.00099
0.998769,1.00045,0.998217,1.00000,1.00230,0.998839,0.996372,1.00013,1.00129,1.00420,1.00038,1.00000,1.00000,0.995251,1.00093,1.00432,0.999727,1.00259
1.00097,1.00223,1.00134,0.999225,0.999890,0.998673,0.996734,0.999117,1.00000,1.00344,1.00300,1.00374,1.00450,0.994573,1.00217,1.00149,1.00150,0.999848
1.00457,1.00241,1.00178,1.00213,1.00449,1.00174,1.00036,1.00341,1.00327,1.00534,1.00225,1.00519,1.00041,1.00475,1.00078,1.00257,1.00519,1.00441
1.00756,1.00491,1.01025,1.00891,1.00625,1.00514,1.00635,1.00202,1.00366,1.00248,1.00619,1.00540,1.00041,1.00611,1.00543,1.00324,1.00847,1.00563
1.00501,1.00158,1.01337,1.00387,1.00340,1.00257,1.00835,1.00265,1.00119,1.00286,1.00206,1.00353,1.00327,1.00475,1.00031,1.00324,1.01011,1.00426
1.00237,1.00052,1.00312,1.00232,1.00000,1.00058,1.00381,1.00076,1.00069,0.999046,1.00113,1.00603,0.997957,1.00407,0.998914,1.00243,1.00232,0.999695
