Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
1.00169,1.00469,1.00194,1.00380,1.00606,1.00445,1.00648,1.00631,1.00399,1.00377,1.00560,1.00558,1.00440,1.00433,1.00634,1.00486,1.00289,1.00595
1.00025,1.00357,1.00088,1.00256,1.00484,1.00442,1.00558,1.00546,1.00399,1.00636,1.00316,1.00613,1.00346,1.00484,1.00426,1.00524,1.00295,1.00485
0.998129,1.00144,0.998942,1.00124,1.00122,1.00376,1.00711,1.00520,1.00280,1.00392,1.00172,1.00319,1.00314,1.00076,1.00305,1.00308,1.00109,1.00285
0.998941,1.00275,0.999647,1.00357,1.00384,1.00387,1.00378,1.00445,1.00319,1.00392,1.00374,1.00414,1.00220,1.00637,1.00484,1.00421,1.00027,1.00279
0.999259,1.00198,0.999471,1.00411,1.00358,1.00376,1.00297,1.00520,1.00207,1.00296,1.00352,1.00359,1.00236,1.00535,1.00415,1.00481,1.00016,1.00405
0.999965,1.00172,1.00123,1.00093,1.00192,1.00128,1.00378,1.00141,1.00058,1.00192,1.00187,1.00327,1.00016,1.00382,1.00167,1.00200,0.999346,1.00298
0.998835,0.999796,1.00035,1.00054,0.999084,0.999275,1.00315,1.00086,1.00115,0.999778,1.00093,1.00072,1.00094,0.997452,0.999539,0.998920,1.00109,1.00153
1.00346,1.00049,1.00405,1.00070,1.00074,1.00142,1.00279,1.00101,1.00161,1.00044,1.00022,0.999124,1.00141,1.00076,1.00138,1.00119,1.00316,1.00043
1.00272,1.00146,1.00106,1.00147,1.00100,0.999931,0.997031,1.00071,1.00134,1.00118,1.00022,1.00159,1.00236,1.00331,1.00075,1.00081,1.00207,1.00061
1.00162,1.00072,1.00353,1.00078,1.00087,1.00138,0.997751,1.00061,0.999616,1.00148,1.00180,1.00167,0.999528,0.997962,1.00115,1.00146,1.00278,1.00052
1.00056,1.00037,1.00176,1.00109,0.999782,1.00021,1.00225,0.999141,0.999578,0.999556,1.00144,1.00175,0.999843,1.00076,1.00058,1.00146,1.00060,1.00031
1.00177,1.00074,1.00123,1.00039,1.00100,0.999827,1.00198,1.00081,1.00019,1.00148,0.999713,0.998486,0.999371,1.00204,1.00040,1.00124,0.999782,1.00160
1.00014,1.00110,1.00071,1.00031,1.00174,1.00155,1.00198,1.00086,1.00234,0.998224,1.00050,0.997769,0.998743,1.00000,0.997580,1.00162,0.998473,1.00107
0.999329,1.00030,1.00018,1.00109,1.00009,0.999482,1.00333,0.998636,1.00031,1.00000,0.999497,0.999522,0.999371,0.999236,0.999020,1.00011,0.997109,1.00117
0.997670,0.998774,0.999295,1.00062,0.998954,1.00000,1.00216,0.998788,0.998042,0.998890,0.998420,0.996973,0.998271,0.997452,0.998675,0.999460,0.996564,1.00064
0.996364,0.999005,0.998237,0.996664,0.998212,0.998619,1.00054,0.999242,0.997581,0.998668,0.998420,0.999124,0.999528,0.998471,0.999251,0.998110,0.995200,0.999018
0.995270,0.997316,1.00000,0.997362,0.997035,0.994925,0.999010,0.998131,0.996582,0.998446,0.997917,0.997530,0.997328,0.997198,1.00006,0.997408,0.994764,0.998680
0.993716,0.996240,0.996298,0.995966,0.996294,0.995304,1.00108,0.997373,0.994739,0.996375,0.998276,0.996415,0.997485,0.994904,0.995966,0.996328,0.993018,0.998895
0.992552,0.995463,0.993830,0.994725,0.994593,0.995753,1.00189,0.996262,0.995200,0.999186,0.996336,0.996096,0.997957,0.993631,0.995793,0.996004,0.991709,0.996931
0.991634,0.995790,0.995241,0.993561,0.996643,0.995857,1.00144,0.995302,0.994931,0.996079,0.997629,0.996495,0.998743,0.991847,0.995390,0.995410,0.992037,0.996931
0.992340,0.995654,0.995417,0.994337,0.994811,0.995408,0.999730,0.998434,0.994163,0.997928,0.998563,0.998646,0.995913,0.991592,0.996024,0.996166,0.993182,0.997668
0.990963,0.993365,0.991186,0.994182,0.993765,0.993198,1.00144,0.996060,0.994010,0.995487,0.995115,0.996495,0.997013,0.990573,0.994929,0.996382,0.991055,0.995888
0.992163,0.992793,0.992244,0.992243,0.994768,0.994027,0.997571,0.994848,0.994317,0.995783,0.995259,0.995300,0.995284,0.991847,0.996024,0.995680,0.990891,0.994906
0.990645,0.993052,0.993302,0.992863,0.994811,0.992715,0.994512,0.995151,0.992858,0.994673,0.995259,0.996495,0.994656,0.998217,0.995851,0.994384,0.991219,0.995274
0.991669,0.993678,0.989600,0.994647,0.996119,0.991921,0.992803,0.993787,0.993510,0.994155,0.995331,0.996654,0.992298,0.998981,0.994238,0.992277,0.992091,0.995152
0.989657,0.992588,0.992420,0.993949,0.992239,0.992887,0.994782,0.993939,0.991091,0.993933,0.994612,0.994662,0.991041,0.995924,0.994238,0.993573,0.990837,0.994293
0.989798,0.992261,0.990305,0.994104,0.991367,0.991575,0.994152,0.993080,0.989901,0.994155,0.993319,0.995379,0.993084,0.995159,0.993085,0.992493,0.989528,0.993802
