Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
3.20300,3.42000,0.995917,0.998638,0.999035,0.999629,0.994586,0.994481,0.996093
3.20100,9.04900,0.995969,0.999319,0.998276,0.997258,0.994510,0.995036,0.994850
3.20100,11.2360,0.996020,0.999686,0.998207,0.999111,0.994434,0.993752,0.996626
3.20100,13.2540,0.995038,0.998428,0.997448,0.997703,0.994281,0.995279,0.994317
3.20100,15.0580,0.995297,0.999266,0.997586,0.998962,0.998780,0.995001,0.993429
3.20100,1.35300,0.998760,0.999214,0.998759,1.00052,0.998932,0.997015,0.997869
3.20200,0.733000,1.00031,1.00115,1.00097,1.00074,0.999619,0.999896,1.00036
3.20300,0.684000,1.00238,1.00231,1.00290,1.00208,1.00259,1.00250,1.00178
3.20300,0.672000,1.00181,1.00320,1.00262,1.00222,1.00320,1.00396,1.00568
3.20200,0.672000,1.00134,0.999528,1.00193,1.00111,1.00236,1.00236,1.00178
3.20400,0.674000,1.00222,0.999371,0.997448,0.999111,1.00076,1.00073,0.998757
3.20400,0.675000,0.999897,0.997537,0.998965,0.997999,0.998780,0.998959,0.997514
3.20400,0.675000,0.998346,0.997590,0.997586,0.998147,0.995349,0.996702,0.994140
3.20300,0.674000,0.997312,0.997642,0.996966,0.997999,0.996569,0.994238,0.992541
3.20400,0.676000,0.996796,0.997013,0.997173,0.997703,0.995883,0.992849,0.992364
3.20400,0.673000,0.995503,0.995022,0.995655,0.998518,0.995883,0.993752,0.993962
3.20400,0.674000,0.994987,0.994708,0.994000,0.996517,0.993595,0.993752,0.994495
3.20400,0.676000,0.994108,0.994865,0.995173,0.996813,0.992528,0.993405,0.991476
3.20400,0.675000,0.992557,0.994289,0.995104,0.995034,0.993900,0.991738,0.993607
3.20500,0.673000,0.992247,0.994027,0.993725,0.995553,0.992223,0.992433,0.990765
3.20400,0.672000,0.992196,0.995075,0.993173,0.994219,0.992146,0.991634,0.992364
3.20500,0.673000,0.992712,0.992508,0.993173,0.994442,0.991918,0.991426,0.992009
3.20400,0.675000,0.990800,0.994656,0.992345,0.992959,0.989173,0.991252,0.993962
3.20400,0.678000,0.990438,0.992979,0.992621,0.994145,0.990164,0.991183,0.992009
3.20400,0.676000,0.989715,0.993975,0.990207,0.993256,0.991003,0.989656,0.990588
3.20300,3.32400,0.990335,0.994027,0.991863,0.992959,0.989325,0.990142,0.988812
3.20100,7.31700,0.988888,0.992350,0.993655,0.992663,0.989096,0.989690,0.989877
3.20200,10.0570,0.989766,0.991407,0.991587,0.993108,0.987495,0.989656,0.991476
