Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
3.20400,4.14400,0.994944,0.997821,0.997188,0.999805,0.998359,0.996942,0.994287
3.20100,10.0150,0.993823,0.996368,0.997798,0.999249,0.997508,0.996630,0.993703
3.20100,12.6250,0.993272,0.996832,0.995728,0.998692,0.996248,0.995615,0.994352
3.19900,14.7550,0.993981,0.995420,0.995569,0.998052,0.996922,0.995198,0.993443
3.20100,16.7370,0.996459,0.998366,0.998302,1.00022,0.998564,0.998178,0.996235
3.20100,1.71700,1.00264,1.00206,1.00029,1.00164,1.00141,1.00120,1.00013
3.20200,0.777000,1.00161,1.00192,1.00143,1.00184,1.00220,1.00260,1.00208
3.20300,0.706000,1.00214,1.00252,1.00281,1.00139,1.00220,1.00224,1.00162
3.20300,0.692000,1.00189,1.00004,1.00119,1.00072,1.00062,1.00043,1.00208
3.20300,0.692000,0.997462,0.997074,0.997798,0.998748,0.998505,0.998399,0.998182
3.20300,0.695000,0.996754,0.997982,0.998382,0.998136,0.997919,0.997606,0.998572
3.20200,0.692000,0.996046,0.997337,0.997347,0.998525,0.995984,0.997124,0.999221
3.20400,0.694000,0.994374,0.996953,0.995834,0.997830,0.996102,0.996291,0.997663
3.20300,0.693000,0.993508,0.996630,0.997161,0.998275,0.997567,0.995224,0.997403
3.20300,0.695000,0.991895,0.996247,0.997161,0.997635,0.995310,0.994704,0.998507
3.20300,0.695000,0.990853,0.994693,0.994455,0.995075,0.994050,0.992674,0.995650
3.20300,0.694000,0.989928,0.993462,0.994694,0.996439,0.994314,0.992388,0.997014
3.20400,0.695000,0.989318,0.994875,0.994561,0.995715,0.994138,0.992687,0.994676
3.20300,0.696000,0.986761,0.993059,0.992518,0.994380,0.992614,0.990800,0.993118
3.20300,0.697000,0.986092,0.991505,0.990740,0.993044,0.990884,0.989225,0.990781
3.20300,0.696000,0.986191,0.991424,0.990873,0.992154,0.991353,0.989212,0.991820
3.20300,0.702000,0.985581,0.990355,0.989626,0.992015,0.990884,0.989486,0.989742
3.20300,0.701000,0.984656,0.988983,0.987663,0.990373,0.989917,0.987911,0.989288
3.20300,0.693000,0.985345,0.989265,0.989706,0.989622,0.990738,0.988835,0.988054
3.20300,0.694000,0.984833,0.989265,0.990263,0.989705,0.990386,0.988236,0.990716
3.20400,4.01200,0.985502,0.989184,0.989467,0.989538,0.989770,0.988041,0.990002
3.20200,8.26800,0.984558,0.987308,0.989334,0.989455,0.990738,0.987729,0.987989
3.20200,11.3210,0.984440,0.986783,0.987159,0.987869,0.988862,0.986805,0.986496
3.20200,13.7910,0.985345,0.987469,0.988220,0.988008,0.988334,0.987365,0.984029
3.20200,15.8740,0.987823,0.988377,0.988353,0.989650,0.989946,0.989212,0.986886
3.20300,1.62400,0.987017,0.988518,0.990634,0.989789,0.991089,0.988809,0.988184
3.20300,0.861000,0.985601,0.986319,0.986893,0.988481,0.989331,0.987351,0.987730
3.20400,0.798000,0.984066,0.985088,0.986363,0.986923,0.986839,0.986089,0.987535
3.20400,0.788000,0.983928,0.986279,0.987079,0.987813,0.986810,0.985191,0.986431
3.20400,0.783000,0.982197,0.985229,0.984293,0.986450,0.985726,0.985347,0.986561
3.20500,0.785000,0.981922,0.985007,0.983046,0.986088,0.985696,0.984320,0.986951
3.20400,0.788000,0.982158,0.985653,0.984585,0.986422,0.986458,0.984944,0.987275
3.20500,0.782000,0.982296,0.984402,0.983869,0.986422,0.986488,0.985165,0.985263
3.20400,0.778000,0.979109,0.983272,0.982118,0.985532,0.984524,0.982381,0.984159
