Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.994868,0.998422,0.998106,0.997505,1.00055,0.999635,0.997392,0.998200,0.996302,0.997970,0.998209,0.996585,0.996034,0.998200,0.997754,0.994130,0.989078,0.999519,0.997367
0.998266,1.00316,1.00372,1.00257,1.00562,1.00303,0.999153,0.998020,0.999300,0.998620,1.00155,1.00147,1.00173,1.00125,0.999348,0.996814,0.988423,1.00010,1.00229
0.998474,1.00246,1.00223,1.00094,1.00387,1.00282,1.00072,1.00099,1.00050,0.999919,1.00155,1.00074,1.00090,1.00104,0.999855,0.999497,0.991918,1.00096,1.00206
0.995215,0.998927,0.997295,0.997583,0.999262,0.997963,0.997458,0.997479,0.997701,0.998376,0.997677,0.994776,0.995501,0.999585,0.996667,0.997317,0.991481,0.998941,0.996108
0.993828,0.998800,0.997768,0.997193,0.998617,0.997389,0.997327,0.998920,0.994902,0.995778,0.996999,0.994843,0.994467,0.998961,0.995507,0.997149,0.992355,0.996824,0.997367
0.999168,1.00259,1.00216,1.00281,1.00332,1.00350,0.999935,1.00171,1.00010,1.00130,1.00208,1.00141,1.00167,1.00339,1.00043,1.00352,0.994539,1.00183,1.00584
1.00506,1.00448,1.00453,1.00561,1.00562,1.00569,1.00404,1.00540,1.00530,1.00438,1.00561,1.00737,1.00640,1.00499,1.00543,1.00587,1.00633,1.00423,1.00927
1.00596,1.00152,1.00311,1.00343,1.00166,1.00225,1.00528,1.00585,1.00640,1.00544,1.00344,1.00402,1.00333,1.00429,1.00783,1.00788,1.01573,1.00308,1.00389
1.00097,0.997917,0.998106,0.997037,0.997234,0.996501,1.00137,1.00216,1.00170,1.00000,0.998596,0.998861,0.998367,0.996954,1.00203,1.00285,1.00677,0.999326,1.00069
0.999306,0.999242,0.999730,0.999298,0.999539,0.999008,0.998044,0.998560,0.998101,0.998863,0.998258,0.997120,0.998867,0.997854,0.998768,0.997652,0.999345,0.998653,0.999313
0.998960,1.00133,1.00027,1.00086,1.00083,1.00266,0.999544,0.998740,0.997501,0.997727,1.00000,0.998995,1.00017,0.998961,0.997101,0.996311,0.992792,1.00019,0.999199
0.995561,0.997664,0.996618,0.997661,0.997234,0.996762,0.997327,0.996579,0.997201,0.996428,0.997241,0.994107,0.993834,0.997092,0.996159,0.995807,0.993665,0.998557,0.993475
0.993134,0.993434,0.993575,0.991110,0.992808,0.994047,0.994198,0.993159,0.995102,0.993505,0.993320,0.990222,0.989201,0.992592,0.992391,0.992621,0.988860,0.996055,0.989468
0.991331,0.993497,0.993304,0.992826,0.993823,0.994203,0.993677,0.992349,0.991403,0.992449,0.992982,0.990691,0.989001,0.993907,0.990652,0.989938,0.983836,0.993553,0.990040
0.993966,0.997538,0.996010,0.999142,0.998064,0.998590,0.994589,0.994329,0.993303,0.994236,0.995208,0.995245,0.992867,0.995292,0.992391,0.993292,0.984054,0.995862,0.994390
0.995631,0.996591,0.996957,0.997505,0.996036,0.997232,0.995697,0.995679,0.996901,0.994642,0.995402,0.993370,0.993234,0.996400,0.993913,0.994130,0.988423,0.996728,0.989697
0.993134,0.993245,0.991614,0.992358,0.991426,0.991540,0.994654,0.992259,0.994102,0.992125,0.993369,0.989754,0.988268,0.992384,0.991304,0.991280,0.987768,0.995670,0.989124
0.990568,0.990151,0.991073,0.990331,0.992255,0.992846,0.991199,0.990278,0.990904,0.991232,0.991772,0.988950,0.986735,0.990653,0.989710,0.990441,0.981433,0.994419,0.987865
0.989597,0.995770,0.994589,0.993294,0.995575,0.997023,0.993546,0.992169,0.990604,0.992855,0.995595,0.993236,0.991901,0.993561,0.991956,0.991615,0.979685,0.994707,0.989582
0.993273,0.998232,0.996010,0.997973,0.999723,1.00010,0.995632,0.994689,0.993203,0.995859,0.996805,0.995915,0.995134,0.996123,0.992826,0.992453,0.981214,0.996632,0.992444
0.992302,0.994444,0.992222,0.992358,0.993177,0.994308,0.995437,0.993249,0.994202,0.992774,0.994434,0.990356,0.989801,0.991345,0.990725,0.994801,0.986020,0.996247,0.987293
0.987794,0.990530,0.990396,0.988771,0.988660,0.990234,0.991591,0.988568,0.990004,0.989851,0.990029,0.985802,0.984735,0.990099,0.988116,0.988764,0.981870,0.991147,0.986720
0.989736,0.992866,0.993169,0.991968,0.993362,0.993002,0.990287,0.991898,0.988605,0.990339,0.992352,0.990557,0.989201,0.991691,0.989058,0.989267,0.982088,0.994130,0.989010
0.991816,0.996022,0.995469,0.998050,0.998156,0.998016,0.994263,0.994149,0.991903,0.993505,0.995547,0.995245,0.995400,0.994115,0.990217,0.989603,0.980559,0.993938,0.994161
0.991608,0.996212,0.994860,0.996257,0.997695,0.997128,0.994654,0.994599,0.994402,0.992531,0.995305,0.992566,0.992201,0.995430,0.992391,0.992621,0.983399,0.995862,0.990613
0.988626,0.989646,0.989044,0.989473,0.988936,0.989712,0.990613,0.989378,0.990804,0.988877,0.990997,0.985601,0.984735,0.988922,0.988985,0.990609,0.985146,0.993264,0.985232
0.985644,0.990151,0.989788,0.990097,0.990688,0.990600,0.989765,0.991628,0.987205,0.988471,0.990319,0.986070,0.985435,0.988437,0.987754,0.988764,0.978593,0.992494,0.985117
0.990499,0.995454,0.994048,0.995477,0.995759,0.996031,0.991004,0.993159,0.990704,0.991232,0.994192,0.992499,0.992434,0.993907,0.989493,0.990441,0.980122,0.995092,0.989697
0.990846,0.998043,0.995875,0.999298,0.997879,0.997754,0.995241,0.993429,0.994302,0.992612,0.995111,0.994308,0.995067,0.995984,0.992899,0.993124,0.984054,0.996343,0.991872
0.988279,0.993181,0.991614,0.993372,0.993085,0.990757,0.993807,0.991808,0.992703,0.990907,0.993224,0.988280,0.988268,0.991484,0.989927,0.992957,0.989952,0.995477,0.990842
0.988834,0.991477,0.992222,0.990409,0.990319,0.990496,0.992308,0.990728,0.991403,0.990582,0.991094,0.987477,0.988268,0.991622,0.989275,0.990106,0.986675,0.992590,0.993131
0.992995,0.995391,0.995672,0.994853,0.996957,0.996658,0.994328,0.996669,0.993902,0.994723,0.994869,0.996183,0.996367,0.995430,0.995797,0.998323,0.994758,0.996536,0.996795
1.00007,0.999684,1.00081,1.00351,1.00101,1.00428,0.999674,1.00099,0.998800,0.999594,1.00087,1.00214,1.00583,0.998546,1.00297,1.00419,1.00328,0.999615,1.00366
0.998890,0.998548,0.997836,0.998440,0.996220,0.997389,1.00020,0.998560,1.00280,0.998295,0.998645,0.997857,1.00180,0.996884,1.00174,1.00520,1.00677,0.999038,0.998054
0.991123,0.991035,0.990396,0.991422,0.989950,0.990861,0.993937,0.993249,0.993802,0.992125,0.991336,0.989151,0.990568,0.991414,0.991956,0.996814,0.997379,0.993553,0.991757
0.988349,0.991098,0.992966,0.991656,0.993546,0.993629,0.989830,0.992709,0.990004,0.991313,0.991481,0.990289,0.991301,0.991207,0.990797,0.992621,0.987331,0.993072,0.988895
0.988904,0.995139,0.994387,0.993138,0.995113,0.997598,0.989830,0.992439,0.992603,0.991394,0.994772,0.993705,0.993267,0.992107,0.990507,0.992453,0.983399,0.993938,0.993017
0.990915,0.995454,0.992696,0.996569,0.994652,0.994882,0.992242,0.991628,0.992803,0.991475,0.993611,0.991428,0.991867,0.993007,0.990870,0.988764,0.986020,0.993938,0.991299
0.986892,0.990340,0.989517,0.991032,0.990227,0.989503,0.988592,0.990188,0.992903,0.987659,0.988771,0.986807,0.986468,0.989891,0.988333,0.990944,0.986894,0.992109,0.987178
0.984673,0.989835,0.989314,0.988849,0.990043,0.988459,0.986767,0.987578,0.990004,0.988146,0.989109,0.986137,0.984768,0.988022,0.985580,0.987926,0.981433,0.990377,0.984774
0.984465,0.992929,0.990937,0.991734,0.993546,0.992376,0.987614,0.989018,0.989104,0.988634,0.990029,0.987878,0.987368,0.989614,0.987754,0.987758,0.976190,0.991051,0.989124
0.987100,0.992424,0.991005,0.994230,0.995021,0.992689,0.989570,0.991178,0.990104,0.990663,0.992546,0.989887,0.991201,0.992315,0.989638,0.990609,0.977064,0.992206,0.990384
0.984881,0.989835,0.988841,0.989317,0.988383,0.988720,0.987158,0.988208,0.987805,0.988634,0.988771,0.984061,0.984935,0.990237,0.986667,0.991112,0.982525,0.989704,0.985003
0.981275,0.986868,0.987082,0.985106,0.986539,0.985743,0.985398,0.988298,0.985606,0.984818,0.987028,0.982923,0.981635,0.987953,0.983985,0.987926,0.979685,0.988645,0.983858
0.981968,0.991035,0.987218,0.987289,0.990503,0.988772,0.984876,0.987308,0.985906,0.987091,0.988432,0.985802,0.984002,0.988991,0.983985,0.984404,0.977719,0.990666,0.986033
0.984812,0.991982,0.990261,0.992904,0.993546,0.991540,0.986897,0.989558,0.989804,0.988309,0.991384,0.990423,0.989534,0.992245,0.985725,0.990609,0.975535,0.990473,0.989239
0.984396,0.991287,0.989314,0.990253,0.991333,0.988825,0.987093,0.989558,0.988904,0.989121,0.989109,0.986271,0.985335,0.990445,0.987681,0.989435,0.982088,0.990666,0.987865
0.981691,0.986742,0.983836,0.986821,0.986170,0.984908,0.985202,0.985687,0.987405,0.986279,0.985963,0.983257,0.981235,0.986706,0.983478,0.986249,0.981433,0.989800,0.985461
0.980789,0.986489,0.986406,0.984404,0.987369,0.985691,0.984159,0.987038,0.985606,0.986766,0.985915,0.982722,0.982202,0.988991,0.984130,0.986081,0.980341,0.989126,0.982828
0.982731,0.991414,0.990667,0.990954,0.989120,0.990913,0.985789,0.990008,0.988205,0.987172,0.988674,0.987677,0.986568,0.990653,0.984855,0.986752,0.977938,0.990473,0.987750
0.982662,0.989141,0.988300,0.990565,0.990503,0.989347,0.985984,0.989198,0.988605,0.987740,0.988238,0.987075,0.987501,0.990030,0.987754,0.988764,0.975972,0.990762,0.986949
0.982523,0.987247,0.985662,0.985886,0.988383,0.984333,0.985463,0.986677,0.987505,0.986117,0.985673,0.982722,0.982902,0.989199,0.986522,0.987087,0.979030,0.989415,0.982255
0.979888,0.985731,0.984107,0.985262,0.986908,0.984072,0.983246,0.987128,0.985306,0.985792,0.983785,0.980980,0.981202,0.986360,0.983913,0.986752,0.981651,0.986528,0.982370
0.981413,0.990088,0.987015,0.988303,0.990503,0.987937,0.982986,0.987488,0.985706,0.986604,0.987125,0.984396,0.985535,0.987329,0.986522,0.985745,0.979685,0.989415,0.987979
0.981830,0.991161,0.989044,0.992124,0.992532,0.988981,0.987093,0.987488,0.985206,0.987578,0.988432,0.987008,0.988601,0.988507,0.987536,0.989435,0.979030,0.989319,0.990155
0.984673,0.991477,0.988706,0.992592,0.990596,0.988877,0.987158,0.989828,0.989204,0.989933,0.988916,0.986740,0.988135,0.990307,0.990942,0.989938,0.987331,0.991340,0.989582
0.985436,0.989267,0.987285,0.989473,0.986447,0.986161,0.987419,0.991898,0.989604,0.989445,0.987464,0.986271,0.988301,0.988299,0.991884,0.993292,0.993447,0.991051,0.991986
0.987655,0.992298,0.989314,0.990409,0.992716,0.990443,0.989309,0.993879,0.993303,0.990014,0.990562,0.991495,0.994134,0.989753,0.996377,0.996814,0.997597,0.992783,0.995879
0.989112,0.993750,0.990870,0.993684,0.992163,0.992584,0.990743,0.994509,0.993203,0.993261,0.990465,0.993035,0.996467,0.991345,0.995870,0.997317,0.996068,0.993456,0.997939
0.985852,0.990656,0.990126,0.991578,0.989674,0.990548,0.988657,0.990458,0.990804,0.991556,0.989013,0.990021,0.992101,0.989960,0.993696,0.994801,0.989952,0.992590,0.994963
0.982454,0.985921,0.983701,0.985340,0.984142,0.984177,0.985267,0.986407,0.987105,0.985954,0.984317,0.981918,0.982935,0.986014,0.987246,0.991447,0.989952,0.988934,0.986377
0.980165,0.984090,0.983295,0.982845,0.984418,0.982976,0.983181,0.986047,0.982607,0.984006,0.981994,0.980512,0.981935,0.982621,0.984710,0.984236,0.981651,0.986817,0.983057
0.982592,0.988509,0.986609,0.986821,0.987461,0.985534,0.983377,0.985417,0.984506,0.983519,0.985431,0.984530,0.984335,0.985945,0.986667,0.987758,0.978593,0.986817,0.985003
0.981483,0.986868,0.986271,0.987211,0.988936,0.986213,0.985072,0.984967,0.982507,0.985954,0.985673,0.983257,0.986535,0.985737,0.985797,0.985913,0.979467,0.988645,0.985461
0.981136,0.986931,0.983295,0.986198,0.985617,0.982036,0.982920,0.984787,0.985206,0.985142,0.983446,0.983458,0.982568,0.986291,0.985580,0.987590,0.979685,0.988549,0.985575
0.979472,0.982448,0.980657,0.981909,0.981837,0.979947,0.980182,0.981727,0.980908,0.981408,0.980010,0.978034,0.978069,0.983868,0.982101,0.982559,0.981651,0.983641,0.980424
0.979333,0.984911,0.982822,0.982455,0.984695,0.982401,0.979661,0.984337,0.981607,0.981732,0.983301,0.981114,0.981502,0.983314,0.982754,0.982056,0.976846,0.985373,0.982370
0.980443,0.986615,0.984851,0.986276,0.985893,0.985065,0.982008,0.985417,0.982607,0.984574,0.984317,0.983190,0.984435,0.985045,0.984493,0.984572,0.974880,0.987683,0.983973
0.979610,0.984974,0.983363,0.985184,0.985801,0.983080,0.983116,0.986137,0.984306,0.983032,0.984995,0.981449,0.984102,0.985668,0.985580,0.986249,0.976190,0.986913,0.983515
0.978709,0.983964,0.980454,0.982455,0.980454,0.980365,0.982399,0.983977,0.982807,0.984493,0.982478,0.978436,0.979802,0.984768,0.984275,0.985242,0.982307,0.985566,0.980309
0.978501,0.983395,0.980860,0.981051,0.982021,0.980730,0.981486,0.983527,0.981707,0.982463,0.981268,0.977096,0.979102,0.981167,0.983188,0.982559,0.977501,0.985181,0.980653
0.979541,0.985479,0.982686,0.981753,0.984510,0.983446,0.982073,0.982807,0.982607,0.984168,0.982333,0.980512,0.982102,0.981652,0.982319,0.982056,0.975317,0.986336,0.982370
0.978847,0.985731,0.985865,0.985964,0.985433,0.985221,0.982203,0.984787,0.983307,0.984574,0.984656,0.984798,0.984968,0.984975,0.983623,0.983230,0.975754,0.985855,0.984888
0.981205,0.985479,0.984512,0.983468,0.986262,0.983080,0.983312,0.983167,0.982907,0.982788,0.981655,0.981918,0.982602,0.984283,0.983406,0.984739,0.977938,0.987009,0.984659
