Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
1.00221,1.00230,0.999733,1.00276,1.00224,1.00340,1.00138,1.00184,1.00476,1.00247,1.00352,1.00265,1.00352,1.00344,1.00508,1.00580,1.00263,1.00578,1.00158,1.00318,1.00382,1.00262
1.00323,1.00213,0.998053,1.00162,1.00133,1.00267,1.00080,1.00078,1.00381,1.00341,1.00377,1.00108,1.00363,1.00251,1.00377,1.00495,1.00282,1.00437,1.00261,1.00274,1.00346,1.00216
1.00099,1.00038,0.997442,1.00054,0.999790,1.00109,1.00077,1.00023,0.999012,1.00016,1.00186,1.00052,0.999896,1.00231,1.00169,1.00297,1.00092,1.00251,1.00086,0.997359,1.00147,1.00183
1.00159,1.00130,0.998549,0.999940,1.00461,1.00237,1.00034,1.00078,1.00070,1.00167,1.00298,1.00096,1.00228,1.00466,1.00227,1.00548,1.00268,1.00510,0.999054,1.00068,1.00274,1.00116
1.00139,1.00303,1.00172,1.00515,1.00392,1.00316,1.00196,1.00372,1.00285,1.00259,1.00307,1.00167,1.00150,1.00453,1.00406,1.00465,1.00503,1.00821,1.00234,1.00406,1.00199,1.00143
1.00065,1.00243,1.00225,1.00335,1.00217,1.00285,1.00285,1.00310,1.00201,1.00129,1.00269,1.00099,1.00010,1.00446,1.00266,1.00206,1.00323,1.00469,1.00131,1.00284,1.00223,1.00166
1.00045,1.00141,1.00248,1.00090,1.00196,1.00146,1.00196,1.00120,1.00073,1.00052,0.999917,1.00019,1.00192,1.00046,1.00111,1.00050,1.00051,1.00012,0.999910,1.00098,1.00064,1.00003
0.999858,1.00200,1.00374,1.00015,1.00091,1.00103,1.00297,1.00158,1.00249,1.00021,1.00000,1.00073,1.00207,1.00020,1.00145,0.999853,1.00060,1.00121,1.00113,1.00383,1.00107,1.00056
1.00128,1.00089,1.00225,1.00048,1.00021,1.00231,1.00150,1.00058,1.00102,1.00033,1.00091,1.00075,1.00155,1.00069,0.998936,1.00059,1.00148,1.00178,1.00158,1.00007,1.00052,1.00013
1.00119,0.999869,0.998435,0.999551,0.999231,0.999757,0.999694,0.999224,1.00029,1.00139,1.00149,1.00110,1.00031,0.999604,1.00029,1.00027,0.998107,0.998665,1.00050,0.999898,1.00103,1.00086
1.00082,0.996933,0.995800,0.998682,0.998532,0.997572,0.995988,0.997802,0.997658,0.998893,0.997805,0.998920,0.998808,0.998282,0.998839,0.999853,0.998938,0.998059,0.998334,0.996005,0.998926,1.00086
1.00062,0.996080,0.993128,0.997065,0.999301,0.996297,0.994335,0.996445,0.997585,0.997858,0.998716,0.997440,0.998808,0.997489,0.997292,1.00038,0.998153,0.999434,0.997974,0.997292,0.999403,0.997710
1.00170,0.996342,0.993090,0.997604,0.999301,0.997511,0.993722,0.996090,0.997658,0.997010,0.997432,0.995773,0.998756,0.999339,0.996324,0.998822,0.997830,0.998625,0.996893,0.998172,0.998687,0.998838
1.00000,0.993324,0.992059,0.997544,0.997623,0.996176,0.991854,0.994797,0.995390,0.996068,0.996604,0.993941,0.996477,0.996796,0.995502,0.997321,0.999123,0.998018,0.996443,0.996276,0.997176,0.997411
