Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
1.00103,1.00227,1.00468,1.00080,1.00081,1.00086,1.00000,1.00135,1.00061,1.00481,1.00271,1.00144,1.00023,1.00151,0.999619,1.00262,1.00164
1.00205,1.00173,1.00277,1.00128,1.00118,1.00090,0.999551,1.00183,0.999771,1.00321,1.00068,0.999885,1.00082,1.00159,1.00022,1.00313,1.00000
1.00090,1.00193,1.00035,0.999522,1.00100,1.00069,1.00165,1.00106,1.00153,1.00189,1.00017,0.999769,1.00023,1.00151,1.00065,1.00153,0.999051
1.00193,1.00158,1.00156,1.00359,1.00137,1.00167,1.00239,1.00164,1.00359,0.999126,1.00076,1.00156,1.00257,1.00223,1.00060,1.00240,1.00104
1.00096,1.00168,1.00156,1.00207,1.00174,1.00094,1.00090,1.00231,1.00428,0.997085,1.00042,1.00162,1.00164,1.00278,1.00114,1.00189,0.999827
1.00122,1.00079,1.00399,1.00207,1.00230,1.00196,1.00179,1.00048,1.00176,1.00131,1.00322,1.00242,1.00292,1.00119,1.00027,1.00087,1.00173
1.00314,1.00336,1.00260,1.00303,1.00125,1.00225,1.00120,1.00058,1.00268,1.00233,1.00085,1.00358,1.00409,1.00302,1.00245,1.00546,1.00216
1.00276,1.00183,1.00156,1.00056,1.00311,1.00155,1.00359,1.00154,1.00306,1.00481,1.00085,1.00387,1.00257,1.00207,1.00202,1.00327,1.00336
1.00244,1.00222,1.00104,1.00247,1.00025,1.00123,1.00254,1.00135,1.00283,1.00233,1.00051,1.00277,1.00152,1.00199,1.00403,1.00291,1.00164
1.00167,1.00143,1.00260,1.00159,1.00125,1.00041,0.998504,1.00202,1.00031,1.00102,1.00042,1.00098,0.999416,1.00191,1.00131,0.999636,1.00147
0.999422,1.00054,1.00104,1.00016,1.00006,0.999796,1.00060,1.00087,0.999924,1.00117,1.00127,0.999596,0.999533,1.00095,0.999510,0.999782,0.999310
0.999679,1.00109,1.00243,1.00000,0.999502,0.998203,0.996710,0.999615,0.998776,1.00379,0.999067,0.998269,0.999766,0.999761,0.999564,1.00073,1.00043
0.998717,0.998864,1.00087,0.999442,0.999751,0.999428,0.998504,0.999422,0.999924,1.00160,0.998304,0.998269,0.998715,1.00175,0.998147,0.998982,0.998447
0.998973,0.998716,1.00104,0.997130,0.999253,0.997223,0.999103,0.997881,0.999006,1.00219,0.997710,0.998096,0.997781,0.999682,0.996404,0.996872,0.996894
0.998652,0.998420,1.00191,0.997688,0.997136,0.998652,0.995513,0.997689,0.996558,1.00117,0.996862,0.998962,0.997314,0.999602,0.995260,0.997890,0.997153
0.998909,0.999506,1.00121,0.997130,0.996513,0.996610,0.993718,0.997689,0.996558,1.00408,0.997456,0.998962,0.995211,0.998887,0.994824,0.996581,0.995342
0.996342,0.998519,0.999306,0.996731,0.999626,0.995752,0.995513,0.997304,0.995793,1.00131,0.996184,0.996769,0.994394,0.997057,0.993026,0.996726,0.996377
0.996663,0.999161,1.00087,0.997209,0.997696,0.996529,0.994616,0.996918,0.994646,1.00291,0.995335,0.997173,0.995912,0.997455,0.993625,0.996726,0.994306
0.997305,0.998222,0.996879,0.997289,0.997323,0.996161,0.992522,0.995955,0.994646,1.00262,0.997201,0.995039,0.996846,0.998091,0.991772,0.996363,0.996463
0.996406,0.997087,0.999480,0.996890,0.998755,0.996202,0.993419,0.996148,0.994646,1.00510,0.996268,0.995731,0.995562,0.997932,0.992481,0.996654,0.995773
0.995636,0.997531,1.00035,0.994817,0.995641,0.995303,0.994466,0.994896,0.992811,1.00000,0.993978,0.996308,0.996262,0.996341,0.990792,0.995853,0.995083
0.993904,0.997284,0.997052,0.995455,0.996887,0.995630,0.993718,0.997207,0.994570,0.999563,0.995420,0.994635,0.994043,0.996898,0.991446,0.994617,0.996204
0.995572,0.997235,0.997052,0.995854,0.996513,0.995058,0.991475,0.995281,0.993958,0.999854,0.994487,0.993827,0.994861,0.995148,0.990138,0.995199,0.995083
0.994032,0.997037,0.996705,0.993382,0.994770,0.995548,0.995663,0.993740,0.996329,0.997377,0.994487,0.991866,0.993109,0.994194,0.990356,0.995853,0.994651
0.994224,0.995655,0.997399,0.994498,0.995517,0.994813,0.992522,0.994896,0.994111,0.997377,0.994996,0.992789,0.994043,0.995387,0.992045,0.997236,0.994306
0.995380,0.994519,0.994798,0.992984,0.996140,0.994078,0.991624,0.994511,0.994111,0.995337,0.992621,0.992327,0.993459,0.995466,0.991500,0.994326,0.992322
0.995315,0.995112,0.994278,0.991867,0.994770,0.994731,0.989979,0.993163,0.995641,0.994608,0.993978,0.992212,0.992759,0.993319,0.990574,0.994035,0.992926
0.995059,0.993927,0.995838,0.993861,0.994458,0.994037,0.992372,0.994415,0.993040,0.993151,0.993470,0.992962,0.992642,0.994035,0.990628,0.995999,0.992150
