Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
1.00478,1.00385,1.00485,1.00587,1.00433,1.00489,1.00510,1.00520,1.00516,1.00432,1.00386,1.00488,1.00575,1.00482,1.00398,1.00501,1.00477
1.00271,1.00284,1.00357,1.00304,1.00170,1.00247,1.00053,1.00299,1.00319,1.00432,1.00259,1.00374,1.00339,1.00473,1.00129,1.00303,1.00492
1.00361,1.00313,1.00391,1.00413,1.00200,1.00231,1.00299,1.00310,1.00449,1.00328,1.00220,1.00374,1.00413,1.00416,0.999513,1.00312,1.00315
1.00382,1.00405,1.00323,1.00502,1.00256,1.00419,1.00431,1.00515,1.00480,1.00028,1.00411,1.00423,1.00391,1.00482,1.00132,1.00391,1.00546
1.00418,1.00247,1.00272,1.00470,1.00376,1.00430,1.00721,1.00388,1.00570,0.995966,1.00254,1.00294,1.00457,1.00438,1.00175,1.00378,1.00553
1.00257,1.00143,1.00383,1.00304,1.00203,1.00222,1.00308,1.00249,1.00471,0.996998,1.00201,1.00294,1.00332,1.00377,1.00083,1.00308,1.00330
1.00054,1.00020,1.00000,1.00045,0.998635,1.00023,0.999648,0.999612,0.999058,1.00507,1.00039,1.00111,1.00118,1.00079,1.00032,1.00035,1.00138
1.00050,0.999433,1.00025,0.999879,0.998835,0.998868,1.00088,0.998505,0.997263,1.00141,0.998875,0.999238,0.999631,1.00031,1.00252,1.00040,0.999001
1.00093,0.999458,0.999915,0.999959,1.00090,1.00029,1.00035,1.00050,1.00197,0.999156,0.999804,1.00107,1.00059,1.00035,1.00175,1.00035,1.00069
1.00111,1.00192,1.00128,1.00198,1.00296,1.00190,1.00281,1.00249,1.00296,0.999437,1.00108,1.00291,1.00000,1.00180,1.00129,1.00198,1.00161
1.00039,1.00136,1.00077,0.999959,1.00043,0.999887,0.998505,1.00072,0.999821,1.00460,1.00127,1.00038,1.00044,1.00000,0.997650,1.00009,1.00008
1.00082,1.00153,1.00059,0.999068,0.999834,0.999977,0.999736,1.00000,1.00018,1.00281,0.998875,1.00017,0.998156,0.999562,0.996046,1.00018,1.00169
1.00100,1.00094,1.00068,0.998420,1.00023,1.00059,1.00176,1.00072,1.00094,0.999156,0.999804,0.999584,0.998967,0.998730,0.994985,0.999341,1.00231
1.00225,1.00025,1.00059,0.999797,1.00047,1.00041,0.999912,1.00161,1.00193,0.999343,0.999658,1.00097,0.998746,1.00031,0.995816,0.999517,1.00015
0.999357,0.999334,1.00085,0.998501,0.999068,0.999774,0.998329,0.999889,0.998071,1.00460,0.997457,0.999584,0.998230,0.998993,0.994441,0.999033,1.00092
0.998037,0.998767,0.999320,0.996800,0.997670,0.998868,0.998153,0.997730,0.995872,1.00291,0.997457,0.996987,0.998451,0.998293,0.994756,0.997671,0.998847
0.999215,0.997287,0.999490,0.997489,0.998868,0.998371,0.998329,0.999225,0.999686,0.999531,0.998337,0.997126,0.998967,0.997461,0.994412,0.998242,1.00077
0.999286,0.996868,0.998130,0.999473,0.998203,0.997760,0.999384,0.997896,1.00013,0.999437,0.998484,0.997264,1.00059,0.998862,0.995415,0.999517,0.998847
0.996894,0.996202,0.996005,0.997084,0.997503,0.996673,0.997010,0.996124,0.996366,1.00103,0.997848,0.996710,0.997566,0.998161,0.993639,0.997627,0.998309
0.994646,0.995462,0.996600,0.996031,0.995506,0.995768,0.993052,0.994740,0.992418,1.00375,0.996528,0.994840,0.996312,0.996979,0.993352,0.994990,0.997541
0.994967,0.995388,0.996345,0.995463,0.994108,0.994682,0.992084,0.995570,0.993809,1.00028,0.995598,0.995048,0.997344,0.996322,0.992378,0.995605,0.997233
0.995824,0.995289,0.997365,0.996233,0.994208,0.995995,0.994107,0.997841,0.997218,1.00009,0.995892,0.998788,0.996680,0.996498,0.994670,0.995605,0.996849
0.994146,0.995783,0.996005,0.997327,0.995074,0.995270,0.997713,0.996955,0.996590,0.999343,0.997604,0.998164,0.995722,0.996366,0.995215,0.996353,0.996234
0.994895,0.995610,0.998130,0.995382,0.995473,0.994999,0.995602,0.996235,0.994751,1.00131,0.997457,0.997957,0.996533,0.996191,0.993782,0.995430,0.995465
0.992218,0.994056,0.994985,0.994492,0.992710,0.993098,0.991557,0.993190,0.993181,1.00300,0.993397,0.995775,0.994910,0.994046,0.991461,0.994067,0.994236
