Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
1.00069,1.00394,1.00035,1.00121,1.00643,1.00444,1.00913,1.00459,1.00210,1.00633,1.00617,1.00597,1.00453,1.00439,1.00680,1.00312,1.00186,1.00497
1.00080,1.00480,1.00174,1.00265,1.00520,1.00379,1.01043,1.00405,1.00245,1.00633,1.00654,1.00432,1.00547,1.00052,1.00611,1.00372,1.00064,1.00500
0.997986,1.00253,0.998087,1.00030,1.00297,1.00366,1.01230,1.00282,1.00156,1.00386,1.00448,1.00204,1.00500,1.00155,1.00320,1.00241,1.00005,1.00331
1.00007,1.00250,0.999305,1.00204,1.00380,1.00339,1.00799,1.00331,1.00315,1.00269,1.00514,1.00456,1.00829,1.00258,1.00326,1.00350,0.999523,1.00328
0.998334,1.00312,0.999652,1.00220,1.00437,1.00254,1.00277,1.00286,1.00335,1.00000,1.00272,1.00385,1.00078,1.00336,1.00250,1.00306,1.00175,1.00328
0.998750,1.00212,0.998261,1.00151,1.00293,1.00102,0.998207,1.00212,1.00128,1.00007,1.00118,1.00361,1.00219,1.00000,1.00157,1.00230,0.999416,1.00184
0.999688,1.00033,1.00000,1.00053,1.00004,1.00027,0.999185,1.00064,1.00016,0.999927,1.00066,1.00008,0.999844,1.00077,1.00087,1.00000,0.999257,1.00078
1.00059,0.999792,1.00278,1.00000,0.999781,0.999119,1.00065,0.999309,1.00058,1.00022,1.00044,1.00110,0.999375,1.00129,0.999767,0.999781,1.00143,1.00054
1.00174,1.00017,1.00452,1.00023,0.999825,1.00003,1.00139,0.999704,1.00054,1.00196,1.00081,1.00141,1.00031,0.998967,1.00012,1.00049,1.00265,0.999819
1.00229,1.00087,1.00417,1.00189,1.00004,1.00085,1.00179,1.00025,0.999767,1.00116,1.00132,1.00102,1.00031,1.00103,1.00116,1.00142,1.00297,1.00127
1.00371,1.00211,1.00052,1.00310,1.00153,1.00220,1.00611,1.00123,1.00124,1.00233,1.00176,1.00212,1.00313,1.00207,1.00070,1.00257,1.00324,1.00193
1.00302,1.00233,1.00278,1.00439,1.00232,1.00196,1.00538,1.00286,1.00335,1.00153,1.00140,1.00071,1.00125,1.00000,1.00087,1.00219,1.00265,1.00235
1.00132,1.00268,1.00122,1.00204,1.00192,1.00122,1.00513,1.00054,1.00004,1.00080,1.00206,1.00000,1.00000,1.00155,1.00035,1.00148,1.00106,1.00268
1.00080,1.00221,1.00070,1.00106,0.999607,1.00054,1.00701,1.00035,0.998872,0.998836,1.00103,0.998507,0.998749,0.996644,0.999070,1.00066,0.998408,1.00313
0.998299,1.00093,0.996522,0.999016,0.998820,1.00010,1.00709,0.998864,0.998561,0.998035,1.00110,0.998743,0.999218,0.994837,0.999825,1.00055,0.995649,1.00115
0.998091,1.00004,0.998261,1.00038,0.998951,0.999831,1.00359,0.998765,0.998289,0.996507,1.00154,0.998586,0.998437,0.996386,0.999070,0.999234,0.996392,1.00045
0.995765,0.999445,0.996348,0.998713,0.999038,0.996783,1.00383,0.999012,0.996266,0.998253,0.997796,0.998428,0.998280,0.996386,0.998372,0.998961,0.996286,1.00042
0.994064,0.998168,0.997913,0.998334,0.998077,0.997223,1.00187,0.997481,0.996499,0.998836,0.998530,0.998271,0.998593,0.998967,0.997383,0.997211,0.995968,0.999548
0.992849,0.996946,0.995131,0.996744,0.996372,0.995428,0.999185,0.998173,0.993309,0.997307,0.999339,0.997250,0.995153,0.993805,0.997965,0.995297,0.993686,0.998945
0.992710,0.996405,0.995827,0.996517,0.996984,0.994581,0.993970,0.996592,0.994749,0.997235,0.997869,0.997721,0.997342,0.997419,0.998139,0.997594,0.995225,0.997861
0.991287,0.995989,0.992349,0.993337,0.994711,0.993463,0.994948,0.995012,0.993698,0.996507,0.998163,0.996700,0.996717,0.997419,0.996046,0.996391,0.993952,0.997951
0.989967,0.994462,0.993045,0.991369,0.994011,0.992346,0.995192,0.994863,0.991987,0.994615,0.995371,0.995128,0.994215,0.992514,0.994883,0.996117,0.991352,0.996294
0.991078,0.994406,0.994436,0.992656,0.995672,0.993226,0.996659,0.995901,0.991442,0.994469,0.995738,0.995521,0.995310,0.994579,0.996220,0.993820,0.992413,0.995722
0.990627,0.995128,0.993914,0.994473,0.997902,0.993531,0.995111,0.994617,0.993037,0.994324,0.995959,0.996936,0.997186,0.995354,0.994534,0.995242,0.992678,0.996927
0.990210,0.993601,0.992871,0.993413,0.993618,0.991770,0.995355,0.994221,0.992415,0.994906,0.995518,0.995364,0.993121,0.995095,0.995464,0.992727,0.990397,0.994999
0.987850,0.993379,0.991827,0.990006,0.993268,0.991668,0.995763,0.993826,0.990626,0.993159,0.995738,0.994500,0.995779,0.996128,0.992033,0.994258,0.991352,0.994667
0.988718,0.993907,0.991306,0.992580,0.993705,0.991397,0.996903,0.993629,0.990003,0.993741,0.996914,0.995757,0.994841,0.993547,0.993545,0.994586,0.990185,0.994697
