Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
3.20300,3.73300,0.992093,0.997017,0.992338,0.997529,0.996414,0.995043,0.998292
3.20000,8.78400,0.991310,0.996243,0.993694,0.997751,0.996103,0.995470,0.995917
3.20100,12.2840,0.992354,0.996972,0.994482,0.998353,0.995345,0.994952,0.997847
3.20000,14.2030,0.994634,0.996698,0.993757,0.998099,0.996000,0.995867,0.997995
3.20200,15.8950,0.998670,0.998657,0.999243,1.00051,0.998517,0.998932,0.999258
3.20300,1.53400,1.00104,1.00116,1.00038,1.00079,1.00010,1.00142,1.00015
3.20200,0.738000,1.00242,1.00225,1.00129,1.00120,1.00131,1.00119,1.00171
3.20400,0.686000,1.00408,1.00264,1.00372,1.00234,1.00317,1.00415,1.00587
3.20300,0.673000,1.00299,1.00244,1.00303,1.00158,1.00183,1.00268,1.00290
3.20500,0.676000,0.996700,0.997450,0.997162,0.998574,0.998138,0.997590,0.997179
3.20400,0.678000,0.995964,0.996175,0.997068,0.998004,0.998276,0.995928,0.995842
3.20300,0.679000,0.996082,0.995355,0.994577,0.996674,0.996586,0.996034,0.996362
3.20400,0.681000,0.992948,0.993579,0.991203,0.995755,0.995069,0.993777,0.994951
3.20300,0.681000,0.991523,0.992896,0.991865,0.996230,0.995724,0.992542,0.996139
3.20400,0.681000,0.990526,0.992577,0.990383,0.994646,0.993793,0.990986,0.992873
3.20500,0.683000,0.989790,0.990983,0.988113,0.993221,0.992586,0.990635,0.991610
3.20400,0.690000,0.988532,0.990801,0.988396,0.991478,0.991896,0.990223,0.991536
3.20400,0.688000,0.987344,0.990801,0.988396,0.991351,0.990723,0.989064,0.992650
3.20300,0.683000,0.985801,0.989025,0.985874,0.990401,0.988930,0.987493,0.990719
3.20400,0.677000,0.985920,0.990368,0.986599,0.989546,0.989275,0.987997,0.990794
3.20600,0.682000,0.985896,0.987978,0.985085,0.989736,0.989034,0.987356,0.990868
3.20500,0.684000,0.984258,0.987044,0.982784,0.989292,0.988034,0.986304,0.988715
3.20400,0.686000,0.984543,0.988296,0.984171,0.988627,0.988516,0.987905,0.989086
